,step,cost
0,3699000.0,71.825340271
1,3698000.0,71.8273468018
2,3697000.0,71.8354110718
3,3696000.0,71.8369445801
4,3695000.0,71.8357925415
5,3694000.0,71.8389892578
6,3693000.0,71.8430252075
7,3692000.0,71.8337249756
8,3691000.0,71.8407211304
9,3690000.0,71.8432617188
10,3689000.0,71.8562469482
11,3688000.0,71.8444976807
12,3687000.0,71.8493041992
13,3686000.0,71.8501281738
14,3685000.0,71.8493881226
15,3684000.0,71.8619232178
16,3683000.0,71.8585205078
17,3682000.0,71.8732147217
18,3681000.0,71.8680877686
19,3680000.0,72.0470581055
20,3679000.0,72.0540237427
21,3678000.0,72.0297546387
22,3677000.0,72.0822525024
23,3676000.0,72.0110244751
24,3675000.0,72.012260437
25,3674000.0,72.008102417
26,3673000.0,72.013885498
27,3672000.0,72.0158996582
28,3671000.0,72.0058898926
29,3670000.0,72.0076141357
30,3669000.0,72.0100250244
31,3668000.0,72.026473999
32,3667000.0,72.0032348633
33,3666000.0,72.00440979
34,3665000.0,72.0048141479
35,3664000.0,72.006149292
36,3663000.0,72.0076675415
37,3662000.0,72.0107574463
38,3661000.0,72.0084991455
39,3660000.0,72.011177063
40,3659000.0,72.0143432617
41,3658000.0,72.0219039917
42,3657000.0,72.0067901611
43,3656000.0,72.0083618164
44,3655000.0,72.0102233887
45,3654000.0,72.01121521
46,3653000.0,72.0197219849
47,3652000.0,72.0095367432
48,3651000.0,72.0132980347
49,3650000.0,72.0131988525
50,3649000.0,72.0104980469
51,3648000.0,72.013885498
52,3647000.0,72.0146789551
53,3646000.0,72.0243682861
54,3645000.0,72.0223693848
55,3644000.0,72.0221405029
56,3643000.0,72.0131378174
57,3642000.0,72.0213165283
58,3641000.0,72.0208816528
59,3640000.0,72.0221405029
60,3639000.0,72.0157318115
61,3638000.0,72.0246124268
62,3637000.0,72.0136413574
63,3636000.0,72.0155334473
64,3635000.0,72.0169525146
65,3634000.0,72.0209121704
66,3633000.0,72.0182113647
67,3632000.0,72.0191040039
68,3631000.0,72.0289306641
69,3630000.0,72.0230560303
70,3629000.0,72.029510498
71,3628000.0,72.017036438
72,3627000.0,72.0191040039
73,3626000.0,72.0212173462
