,step,cost
0,324000.0,108.737045288
1,323000.0,108.704559326
2,322000.0,108.706451416
3,321000.0,108.650840759
4,320000.0,108.813430786
5,320000.0,108.862731934
6,319000.0,108.723403931
7,318000.0,108.652313232
8,317000.0,108.823242188
9,316000.0,108.985420227
10,315000.0,108.71736908
11,314000.0,108.763595581
12,313000.0,108.878822327
13,312000.0,108.872566223
14,311000.0,108.924324036
15,310000.0,108.90296936
16,309000.0,108.935272217
17,308000.0,108.976928711
18,307000.0,109.040374756
19,306000.0,109.278213501
20,305000.0,109.137634277
21,304000.0,109.269699097
22,303000.0,109.381408691
23,302000.0,109.272293091
24,301000.0,109.291122437
25,300000.0,109.40020752
26,304000.0,109.523651123
27,303000.0,109.413070679
28,302000.0,109.345031738
29,301000.0,109.431655884
30,300000.0,109.512069702
31,300000.0,109.494049072
32,299000.0,109.616546631
33,298000.0,109.573913574
34,297000.0,109.651504517
35,296000.0,109.621452332
36,295000.0,109.636299133
37,294000.0,109.523521423
38,293000.0,109.747444153
39,292000.0,109.658905029
40,292000.0,109.892616272
41,291000.0,109.657546997
42,290000.0,109.798439026
43,289000.0,109.805603027
44,288000.0,109.815368652
45,287000.0,109.827133179
46,286000.0,109.719207764
47,285000.0,109.79850769
48,284000.0,109.756149292
49,283000.0,110.017547607
50,282000.0,109.806152344
51,281000.0,109.898651123
52,280000.0,109.928367615
53,279000.0,110.006973267
54,278000.0,110.199676514
55,277000.0,109.954071045
56,276000.0,110.11680603
57,275000.0,110.012695312
58,274000.0,110.122787476
59,273000.0,110.182617188
60,272000.0,110.108627319
61,271000.0,110.17653656
62,270000.0,110.235046387
63,269000.0,110.180557251
64,268000.0,110.202880859
65,267000.0,110.219772339
66,266000.0,110.322265625
67,265000.0,110.414924622
68,264000.0,110.49987793
69,263000.0,110.416900635
70,262000.0,110.529777527
71,261000.0,110.541656494
72,260000.0,110.673118591
73,259000.0,110.563552856
74,258000.0,110.590713501
75,257000.0,110.497169495
76,256000.0,110.481140137
77,255000.0,110.74710083
78,254000.0,110.675628662
79,253000.0,110.645324707
80,252000.0,110.716156006
81,251000.0,110.783164978
82,250000.0,110.874603271
83,249000.0,110.745910645
84,248000.0,110.828269958
85,247000.0,111.012405396
86,246000.0,110.991325378
87,245000.0,110.994674683
88,244000.0,110.960662842
89,243000.0,111.157165527
90,242000.0,111.059921265
91,241000.0,111.178688049
92,240000.0,111.2681427
93,239000.0,111.166030884
94,238000.0,111.24294281
95,237000.0,111.246704102
96,236000.0,111.231185913
97,235000.0,111.297653198
98,234000.0,111.235427856
99,233000.0,111.375350952
100,232000.0,111.408470154
101,231000.0,111.300331116
102,230000.0,111.313423157
103,229000.0,111.372573853
104,228000.0,111.331451416
105,227000.0,111.669288635
106,226000.0,111.762817383
107,225000.0,111.448471069
108,224000.0,111.50592041
109,223000.0,111.438606262
110,222000.0,111.477905273
111,221000.0,111.441192627
112,220000.0,111.576683044
113,219000.0,111.557861328
114,218000.0,111.583587646
115,217000.0,111.685882568
116,216000.0,111.547866821
117,215000.0,111.607322693
118,214000.0,111.636962891
119,213000.0,111.662452698
120,212000.0,111.711608887
121,211000.0,111.800628662
122,210000.0,111.788467407
123,209000.0,111.654663086
124,208000.0,111.774780273
125,207000.0,111.718025208
126,206000.0,111.766036987
127,205000.0,111.829559326
128,204000.0,111.846389771
129,203000.0,111.936645508
130,202000.0,111.904724121
131,201000.0,111.910202026
132,200000.0,111.927902222
133,199000.0,111.907905579
134,198000.0,111.871070862
135,197000.0,112.065483093
136,196000.0,111.843002319
137,195000.0,111.942169189
138,194000.0,111.982780457
139,193000.0,112.0832901
140,192000.0,112.04196167
141,191000.0,111.961761475
142,190000.0,112.197288513
143,189000.0,112.076980591
144,188000.0,112.135780334
145,187000.0,112.202835083
146,186000.0,112.167434692
147,185000.0,112.190216064
148,184000.0,112.37562561
149,183000.0,112.307388306
150,182000.0,112.330535889
151,181000.0,112.331970215
152,180000.0,112.314651489
153,179000.0,112.357650757
154,178000.0,112.406723022
155,177000.0,112.402008057
156,176000.0,112.309875488
157,175000.0,112.344833374
158,174000.0,112.461257935
159,173000.0,112.572799683
160,172000.0,112.44317627
161,171000.0,112.553070068
162,170000.0,112.465744019
163,169000.0,112.632049561
164,168000.0,112.614700317
165,167000.0,112.534729004
166,166000.0,112.700408936
167,165000.0,112.710823059
168,164000.0,112.650985718
169,163000.0,112.713066101
170,162000.0,112.802215576
171,161000.0,112.822341919
172,160000.0,112.773101807
173,159000.0,112.778305054
174,158000.0,112.872299194
175,157000.0,112.934844971
176,156000.0,112.878921509
177,155000.0,112.972915649
178,154000.0,113.023124695
